gene,avg_distance
1,1.094693892745854
10,2.5618444613329
100,0.7158821242226661
1000,0.9144927274802278
10000,0.6652560967820665
100008586,0.002210875336222397
10001,0.7379053654192447
10002,0.00968705016791509
10003,0.8505588972508914
100033411,0.0013443147767359
100037417,0.4599776493150972
10004,0.9039861148480013
100049587,0.48009738807748314
10005,1.1778060119279923
10006,0.6215794056909872
10007,0.8625527053912632
10008,0.8005636781909243
10009,1.0271881092122763
1001,0.6171384972308701
10010,0.6142274556533086
100101267,0.9977790497228036
100101268,0.0
100101467,1.478384296409662
100101490,0.0015047256478108936
10011,1.0662522175104014
100113407,1.464248239972329
100125288,0.0006342912451456114
100126572,0.003638368715818245
100127206,0.0032680086304257778
100127983,1.3199902930608978
100128071,0.0006386707774493003
100128327,0.09393434954925453
100128553,0.001400283519867653
100128569,0.003876846922903977
100128731,1.215198500272405
100128908,0.001175480980473542
100128927,3.2579482759629714
100129053,0.0014083943238788119
100129128,0.00321562936067771
100129216,0.0022284200030668077
100129239,0.026837837497623553
100129250,4.122913804312304
100129271,2.186744099018303
100129278,0.0011156190769728356
100129361,1.467376247623814
100129407,0.0027745978178182677
100129480,0.00038524061820747264
100129515,0.001504439996249402
100129520,0.002149846038986108
100129543,0.0004272151441649321
100129583,0.13741599226346585
100129654,0.002152763541459258
100129669,0.001728661899711313
100129792,0.0014784386160556016
100129842,0.06992121066808249
100129924,0.0008852492199645007
100129969,0.0016085906673580738
10013,0.7736374126724287
100130086,0.0034231570975949924
100130274,0.00035593078359564043
100130301,0.0010024050194608334
100130302,0.004013488099058174
100130311,0.858894175366329
100130348,0.0004291023290698063
100130361,0.0
100130519,0.0005409188998363452
100130613,0.01883337439631829
100130705,0.0029951392992498167
100130733,0.4570662838333062
100130742,0.000917860621756615
100130827,0.0008813041458235121
100130933,0.3595412594235831
100130958,0.00268073890804281
100130988,0.0014220011513852058
100131017,0.9843206403050379
100131137,0.002496878280555042
100131187,8.635769864550843
100131211,1.337737674759194
100131244,0.008148118932416893
100131303,0.0007423073769073468
100131378,0.0012986076245841854
100131390,0.0011258119547110843
100131439,0.012426222068572588
100131608,0.0006843641289306053
100131755,0.5924136170303541
100131801,1.697447864066921
100131827,1.6907799052804668
100131897,0.4253936947606207
100131902,0.003313441191154858
100131980,0.002697791013581449
100132015,0.0006841165975706567
