cell_line	network
ACH-000387	myeloid_cell
ACH-000389	glial_cell
ACH-000390	lung
ACH-000391	mesenchymal_cell
ACH-000393	liver
ACH-000395	lung
ACH-000396	urothelium
ACH-000397	uterus
ACH-000398	lymphoid_system
ACH-000401	skin_of_body
ACH-000402	lymphoid_system
ACH-000403	colon
ACH-000404	skin_of_body
ACH-000405	lymphoid_system
ACH-000406	myeloid_cell
ACH-000407	uterus
ACH-000408	esophagus
ACH-000410	osteoblast
ACH-000411	kidney
ACH-000414	lung
ACH-000415	mouth
ACH-000416	lung
ACH-000417	pancreas
ACH-000420	liver
ACH-000421	colon
ACH-000422	liver
ACH-000424	mesenchymal_cell
ACH-000425	skin_of_body
ACH-000426	lymphoid_system
ACH-000427	stomach
ACH-000430	ovary
ACH-000431	lung
ACH-000433	kidney
ACH-000434	lung
ACH-000435	uterus
ACH-000436	lymphoid_system
ACH-000437	glial_cell
ACH-000438	lung
ACH-000441	skin_of_body
ACH-000442	lung
ACH-000444	lung
ACH-000445	glial_cell
ACH-000446	adrenal_gland
ACH-000448	lung
ACH-000450	skin_of_body
ACH-000452	esophagus
ACH-000454	lung
ACH-000455	glial_cell
ACH-000456	thyroid_gland
ACH-000458	skin_of_body
ACH-000459	kidney
ACH-000460	ovary
ACH-000461	liver
ACH-000463	lung
ACH-000464	glial_cell
ACH-000466	stomach
ACH-000467	colon
ACH-000468	pancreas
ACH-000469	glial_cell
ACH-000470	colon
ACH-000471	liver
ACH-000472	mouth
ACH-000473	urothelium
ACH-000475	liver
ACH-000476	liver
ACH-000477	skin_of_body
ACH-000478	liver
ACH-000479	glial_cell
ACH-000480	liver
ACH-000481	lung
ACH-000483	liver
ACH-000484	kidney
ACH-000485	stomach
ACH-000486	urothelium
ACH-000487	myeloid_cell
ACH-000488	esophagus
ACH-000489	colon
ACH-000490	uterine_cervix
ACH-000491	colon
ACH-000493	liver
ACH-000495	kidney
ACH-000496	lung
ACH-000498	myeloid_cell
ACH-000499	mesenchymal_cell
ACH-000500	mouth
ACH-000501	colon
ACH-000502	pancreas
ACH-000503	mouth
ACH-000504	glial_cell
ACH-000505	smooth_muscle_cell
ACH-000507	stomach
ACH-000510	lung
ACH-000511	lung
ACH-000512	lymphoid_system
ACH-000514	lung
ACH-000515	lung
ACH-000516	chondrocyte
ACH-000517	pancreas
ACH-000518	mouth
ACH-000519	lymphoid_system
ACH-000520	ovary
ACH-000521	lung
ACH-000522	urothelium
ACH-000524	ovary
ACH-000525	lung
ACH-000527	ovary
ACH-000528	lung
ACH-000532	colon
ACH-000533	kidney
ACH-000535	pancreas
ACH-000537	liver
ACH-000541	lymphoid_system
ACH-000542	ovary
ACH-000544	esophagus
ACH-000545	urothelium
ACH-000546	mouth
ACH-000547	urothelium
ACH-000548	mouth
ACH-000549	mouth
ACH-000550	skin_of_body
ACH-000551	myeloid_cell
ACH-000552	colon
ACH-000554	mammary_gland
ACH-000556	uterine_cervix
ACH-000557	myeloid_cell
ACH-000558	glial_cell
ACH-000559	lung
ACH-000561	esophagus
ACH-000562	lung
ACH-000563	lung
ACH-000565	colon
ACH-000567	lymphoid_system
ACH-000569	respiratory_system
ACH-000570	glial_cell
ACH-000571	glial_cell
ACH-000573	mammary_gland
ACH-000576	lymphoid_system
ACH-000577	liver
ACH-000579	skin_of_body
ACH-000580	skin_of_body
ACH-000581	stomach
ACH-000583	lymphoid_system
ACH-000584	ovary
ACH-000585	lung
ACH-000587	lung
ACH-000588	lymphoid_system
ACH-000589	lung
ACH-000591	glial_cell
ACH-000592	glial_cell
ACH-000593	urothelium
ACH-000595	glial_cell
ACH-000596	lung
ACH-000597	kidney
ACH-000599	pancreas
ACH-000601	pancreas
ACH-000602	myeloid_cell
ACH-000604	myeloid_cell
ACH-000605	esophagus
ACH-000606	mouth
ACH-000607	kidney
ACH-000608	ovary
ACH-000609	glial_cell
ACH-000614	skin_of_body
ACH-000616	stomach
ACH-000618	mouth
ACH-000619	mouth
ACH-000620	liver
ACH-000621	mammary_gland
ACH-000622	glial_cell
ACH-000623	glial_cell
ACH-000624	mammary_gland
ACH-000627	lung
ACH-000630	mouth
ACH-000631	glial_cell
ACH-000632	skin_of_body
ACH-000633	stomach
ACH-000634	glial_cell
ACH-000637	esophagus
ACH-000638	lung
ACH-000639	lung
ACH-000645	respiratory_system
ACH-000646	ovary
ACH-000647	esophagus
ACH-000648	respiratory_system
ACH-000649	kidney
ACH-000651	colon
ACH-000652	pancreas
ACH-000653	lymphoid_system
ACH-000654	lymphoid_system
ACH-000655	glial_cell
ACH-000656	lymphoid_system
ACH-000657	ovary
ACH-000660	lymphoid_system
ACH-000661	skin_of_body
ACH-000662	lung
ACH-000663	ovary
ACH-000664	lymphoid_system
ACH-000665	lung
ACH-000666	lung
ACH-000667	lung
ACH-000668	mammary_gland
ACH-000671	liver
ACH-000672	lung
ACH-000673	glial_cell
ACH-000676	skin_of_body
ACH-000677	lung
ACH-000681	lung
ACH-000682	mouth
ACH-000683	colon
ACH-000684	kidney
ACH-000685	pancreas
ACH-000688	ovary
ACH-000693	esophagus
ACH-000694	esophagus
ACH-000695	lung
ACH-000696	ovary
ACH-000697	lymphoid_system
ACH-000698	lung
ACH-000699	mammary_gland
ACH-000700	lung
ACH-000701	ovary
ACH-000702	lymphoid_system
ACH-000704	ovary
ACH-000706	lung
ACH-000709	kidney
ACH-000711	mammary_gland
ACH-000713	ovary
ACH-000714	lymphoid_system
ACH-000716	thyroid_gland
ACH-000717	esophagus
ACH-000718	lung
ACH-000719	ovary
ACH-000720	urothelium
ACH-000721	mammary_gland
ACH-000722	colon
ACH-000724	urothelium
ACH-000725	mammary_gland
ACH-000732	mouth
ACH-000734	liver
ACH-000735	mouth
ACH-000736	stomach
ACH-000738	glial_cell
ACH-000739	liver
ACH-000740	mouth
ACH-000741	urothelium
ACH-000746	stomach
ACH-000747	lung
ACH-000748	osteoblast
ACH-000749	lung
ACH-000753	urothelium
ACH-000754	lymphoid_system
ACH-000756	glial_cell
ACH-000757	lung
ACH-000758	stomach
ACH-000760	glial_cell
ACH-000762	mouth
ACH-000763	lymphoid_system
ACH-000764	stomach
ACH-000765	skin_of_body
ACH-000766	lung
ACH-000767	lung
ACH-000768	mammary_gland
ACH-000769	lung
ACH-000770	myeloid_cell
ACH-000771	mouth
ACH-000773	lymphoid_system
ACH-000774	lung
ACH-000775	lung
ACH-000776	embryo
ACH-000777	esophagus
ACH-000778	mouth
ACH-000781	lung
ACH-000782	lymphoid_system
ACH-000783	mammary_gland
ACH-000784	esophagus
ACH-000785	lung
ACH-000787	lung
ACH-000788	skin_of_body
ACH-000790	lung
ACH-000791	lung
ACH-000792	kidney
ACH-000793	stomach
ACH-000794	mouth
ACH-000796	ovary
ACH-000798	colon
ACH-000799	skin_of_body
ACH-000800	lung
ACH-000801	skin_of_body
ACH-000802	urothelium
ACH-000804	adrenal_gland
ACH-000805	skin_of_body
ACH-000807	glial_cell
ACH-000809	esophagus
ACH-000810	skin_of_body
ACH-000811	ovary
ACH-000817	lymphoid_system
ACH-000819	glial_cell
ACH-000820	colon
ACH-000821	lymphoid_system
ACH-000822	skin_of_body
ACH-000823	esophagus
ACH-000824	esophagus
ACH-000826	lung
ACH-000827	skin_of_body
ACH-000829	lymphoid_system
ACH-000831	uterus
ACH-000832	mouth
ACH-000833	muscle_cell
ACH-000834	urothelium
ACH-000835	mesenchymal_cell
ACH-000836	mouth
ACH-000837	lung
ACH-000838	lymphoid_system
ACH-000839	urinary_bladder
ACH-000840	lung
ACH-000841	lung
ACH-000843	lung
ACH-000845	lung
ACH-000846	mouth
ACH-000847	stomach
ACH-000848	liver
ACH-000849	mammary_gland
ACH-000851	lung
ACH-000853	lung
ACH-000855	esophagus
ACH-000856	mammary_gland
ACH-000858	lung
ACH-000859	mammary_gland
ACH-000860	lung
ACH-000861	lung
ACH-000862	urothelium
ACH-000863	glial_cell
ACH-000864	uterus
ACH-000865	esophagus
ACH-000866	lung
ACH-000867	lung
ACH-000869	lung
ACH-000871	lung
ACH-000872	lung
ACH-000873	esophagus
ACH-000874	lymphoid_system
ACH-000876	mammary_gland
ACH-000878	lung
ACH-000879	uterus
ACH-000880	stomach
ACH-000881	skin_of_body
ACH-000882	skin_of_body
ACH-000884	skin_of_body
ACH-000885	ovary
ACH-000886	lung
ACH-000887	glial_cell
ACH-000888	lung
ACH-000889	lymphoid_system
ACH-000890	lung
ACH-000894	lung
ACH-000896	urothelium
ACH-000898	stomach
ACH-000899	skin_of_body
ACH-000900	lung
ACH-000901	lung
ACH-000903	thyroid_gland
ACH-000905	urothelium
ACH-000906	ovary
ACH-000907	kidney
ACH-000910	mammary_gland
ACH-000911	stomach
ACH-000912	lung
ACH-000913	uterus
ACH-000914	lymphoid_system
ACH-000915	skin_of_body
ACH-000916	lung
ACH-000917	esophagus
ACH-000919	stomach
ACH-000920	myeloid_cell
ACH-000921	lung
ACH-000922	lymphoid_system
ACH-000924	lung
ACH-000926	colon
ACH-000928	uterus
ACH-000929	lung
ACH-000932	stomach
ACH-000934	mammary_gland
ACH-000935	colon
ACH-000936	ovary
ACH-000937	lymphoid_system
ACH-000938	lymphoid_system
ACH-000939	uterus
ACH-000941	uterus
ACH-000943	colon
ACH-000944	lymphoid_system
ACH-000945	lung
ACH-000946	uterus
ACH-000947	ovary
ACH-000948	stomach
ACH-000950	colon
ACH-000953	lymphoid_system
ACH-000956	prostate_gland
ACH-000957	colon
ACH-000958	colon
ACH-000959	colon
ACH-000960	lymphoid_system
ACH-000961	uterus
ACH-000962	ovary
ACH-000963	colon
ACH-000965	uterus
ACH-000966	ovary
ACH-000968	skin_of_body
ACH-000969	colon
ACH-000970	colon
ACH-000971	colon
ACH-000972	uterus
ACH-000973	urinary_bladder
ACH-000974	uterus
ACH-000975	lung
ACH-000976	liver
ACH-000977	prostate_gland
ACH-000978	uterus
ACH-000979	prostate_gland
ACH-000980	lung
ACH-000983	myeloid_cell
ACH-000984	uterus
ACH-000985	colon
ACH-000986	colon
ACH-000988	uterus
ACH-000991	colon
ACH-000993	uterus
ACH-000994	uterus
ACH-000995	lymphoid_system
ACH-000996	uterus
ACH-000997	colon
ACH-001001	osteoblast
ACH-001016	glial_cell
ACH-001020	embryo
ACH-001028	embryo
ACH-001029	mesenchymal_cell
ACH-001031	embryo
ACH-001033	embryo
ACH-001036	myeloid_cell
ACH-001038	mesenchymal_cell
ACH-001039	colon
ACH-001041	skin_of_body
ACH-001048	ovary
ACH-001050	muscle_cell
ACH-001053	embryo
ACH-001054	embryo
ACH-001061	colon
ACH-001065	mammary_gland
