cell_line	network
ACH-002499	mammary_gland
ACH-002500	lymphoid_system
ACH-002508	skin_of_body
ACH-002510	skin_of_body
ACH-002511	skin_of_body
ACH-002512	skin_of_body
ACH-002522	lung
ACH-002523	liver
ACH-002524	ovary
ACH-002526	lung
ACH-002528	kidney
ACH-002530	colon
ACH-002531	lung
ACH-002533	kidney
ACH-002535	colon
ACH-002538	colon
ACH-002544	stomach
ACH-002647	liver
ACH-002650	lung
ACH-002654	colon
ACH-002659	colon
ACH-002660	colon
ACH-002662	colon
ACH-002664	colon
ACH-002669	colon
ACH-002672	pancreas
ACH-002677	lymphoid_system
ACH-002678	lymphoid_system
ACH-002680	glial_cell
ACH-002681	glial_cell
ACH-002687	eye
ACH-002690	osteoblast
ACH-002693	schwann_cell
ACH-002705	stomach
ACH-002706	stomach
ACH-002708	fat_cell
ACH-002709	myeloid_cell
ACH-002710	schwann_cell
ACH-002711	saliva_secreting_gland
ACH-002778	osteoblast
ACH-002780	mesenchymal_cell
ACH-002782	mesenchymal_cell
ACH-002784	mesenchymal_cell
ACH-002785	smooth_muscle_cell
ACH-002792	skin_of_body
ACH-002799	schwann_cell
ACH-002800	schwann_cell
ACH-002801	schwann_cell
ACH-002806	glial_cell
ACH-002834	osteoblast
ACH-002847	skin_of_body
ACH-002922	adrenal_gland
ACH-002925	eye
ACH-002926	eye
ACH-002928	skin_of_body
ACH-003012	lung
ACH-003177	mesenchymal_cell
ACH-003180	mesenchymal_cell
ACH-003184	smooth_muscle_cell
ACH-003191	osteoblast
